,v2_term_x,description,v3_term,v2_term_y,unk,icd10_term,snomed_concept_id
35687,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,237323007
35688,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,199420004
35689,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,620921000000107
35690,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,199796003
35692,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,88825008
35693,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,199809005
35694,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,699061000000103
35695,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,608361000000105
35696,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,698497008
35697,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,289778008
35698,L22..,Malpresentation of fetus,Y7EGz,.K33.,X76Rq,P031,70068004
35699,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,240222001
35700,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,237323007
35701,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,199420004
35702,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,620921000000107
35703,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,199796003
35705,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,88825008
35706,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,199809005
35707,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,699061000000103
35708,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,608361000000105
35709,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,698497008
35710,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,289778008
35711,L22..,Malpresentation of fetus,Y7EGz,L22..,X76Rq,P031,70068004
35712,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,240222001
35713,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,237323007
35714,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,199420004
35715,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,620921000000107
35716,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,199796003
35718,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,88825008
35719,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,199809005
35720,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,699061000000103
35721,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,608361000000105
35722,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,698497008
35723,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,289778008
35724,L23..,Cephalo-pelvic disproportion,YMKBE,.K34.,L23..,P031,70068004
35725,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,240222001
35726,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,237323007
35727,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,199420004
35728,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,620921000000107
35729,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,199796003
35731,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,88825008
35732,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,199809005
35733,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,699061000000103
35734,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,608361000000105
35735,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,698497008
35736,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,289778008
35737,L23..,Cephalo-pelvic disproportion,YMKBE,L23..,L23..,P031,70068004
35738,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,240222001
35739,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,237323007
35740,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,199420004
35741,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,620921000000107
35742,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,199796003
35744,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,88825008
35745,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,199809005
35746,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,699061000000103
35747,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,608361000000105
35748,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,698497008
35749,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,289778008
35750,L231.,Generally contracted pelvis,Y40pT,L231.,L231.,P031,70068004
35751,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,240222001
35752,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,237323007
35753,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,199420004
35754,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,620921000000107
35755,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,199796003
35757,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,88825008
35758,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,199809005
35759,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,699061000000103
35760,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,608361000000105
35761,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,698497008
35762,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,289778008
35763,L232.,Inlet pelvic contraction,YMKBF,L232.,L232.,P031,70068004
35764,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,240222001
35765,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,237323007
35766,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,199420004
35767,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,620921000000107
35768,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,199796003
35770,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,88825008
35771,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,199809005
35772,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,699061000000103
35773,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,608361000000105
35774,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,698497008
35775,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,289778008
35776,L233.,Outlet pelvic contraction,YMKBG,L233.,L233.,P031,70068004
35777,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,240222001
35778,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,237323007
35779,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,199420004
35780,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,620921000000107
35781,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,199796003
35783,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,88825008
35784,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,199809005
35785,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,699061000000103
35786,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,608361000000105
35787,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,698497008
35788,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,289778008
35789,L237.,Other fetal abnormality causing disproportion,Y40po,L237.,XE0w4,P031,70068004
35790,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,240222001
35791,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,237323007
35792,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,199420004
35793,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,620921000000107
35794,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,199796003
35796,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,88825008
35797,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,199809005
35798,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,699061000000103
35799,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,608361000000105
35800,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,698497008
35801,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,289778008
35802,L237.,Conjoined twins causing disproportion,Y40pn,L237.,X40BI,P031,70068004
35803,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,240222001
35804,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,237323007
35805,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,199420004
35806,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,620921000000107
35807,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,199796003
35809,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,88825008
35810,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,199809005
35811,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,699061000000103
35812,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,608361000000105
35813,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,698497008
35814,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,289778008
35815,L23z.,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,70068004
35816,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,240222001
35817,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,237323007
35818,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,199420004
35819,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,620921000000107
35820,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,199796003
35822,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,88825008
35823,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,199809005
35824,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,699061000000103
35825,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,608361000000105
35826,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,698497008
35827,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,289778008
35828,L23z.,Disproportion NOS,Y40pE,L23zz,L23z.,P031,70068004
35829,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,240222001
35830,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,237323007
35831,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,199420004
35832,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,620921000000107
35833,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,199796003
35835,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,88825008
35836,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,199809005
35837,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,699061000000103
35838,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,608361000000105
35839,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,698497008
35840,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,289778008
35841,L23zz,Disproportion NOS,Y40pE,.K34Z,L23z.,P031,70068004
35842,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,240222001
35843,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,237323007
35844,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,199420004
35845,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,620921000000107
35846,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,199796003
35848,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,88825008
35849,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,199809005
35850,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,699061000000103
35851,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,608361000000105
35852,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,698497008
35853,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,289778008
35854,L23zz,Disproportion NOS,Y40pE,L23zz,L23z.,P031,70068004
35855,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,240222001
35856,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,237323007
35857,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,199420004
35858,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,620921000000107
35859,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,199796003
35861,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,88825008
35862,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,199809005
35863,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,699061000000103
35864,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,608361000000105
35865,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,698497008
35866,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,289778008
35867,L2402,Bicornuate uterus - baby delivered with postpartum complication,Y40g3,L2402,X40AQ,P031,70068004
35868,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,240222001
35869,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,237323007
35870,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,199420004
35871,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,620921000000107
35872,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,199796003
35874,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,88825008
35875,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,199809005
35876,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,699061000000103
35877,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,608361000000105
35878,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,698497008
35879,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,289778008
35880,L2440,Rectocele affecting obstetric care,Y40fO,L2440,X40AA,P031,70068004
35881,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,240222001
35882,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,237323007
35883,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,199420004
35884,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,620921000000107
35885,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,199796003
35887,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,88825008
35888,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,199809005
35889,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,699061000000103
35890,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,608361000000105
35891,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,698497008
35892,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,289778008
35893,L2442,Cystocele - delivered with postpartum complication,Y40fL,L2442,X40A8,P031,70068004
35894,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,240222001
35895,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,237323007
35896,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,199420004
35897,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,620921000000107
35898,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,199796003
35900,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,88825008
35901,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,199809005
35902,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,699061000000103
35903,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,608361000000105
35904,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,698497008
35905,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,289778008
35906,L2442,Rectocele - delivered with postpartum complication,Y40fK,L2442,X40A7,P031,70068004
35907,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,240222001
35908,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,237323007
35909,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,199420004
35910,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,620921000000107
35911,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,199796003
35913,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,88825008
35914,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,199809005
35915,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,699061000000103
35916,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,608361000000105
35917,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,698497008
35918,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,289778008
35919,L2443,Rectocele complicating antenatal care - baby not yet delivered,Y40fI,L2443,X40A6,P031,70068004
35920,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,240222001
35921,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,237323007
35922,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,199420004
35923,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,620921000000107
35924,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,199796003
35926,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,88825008
35927,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,199809005
35928,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,699061000000103
35929,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,608361000000105
35930,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,698497008
35931,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,289778008
35932,L2462,Polyp of cervix - baby delivered with postpartum complication,Y40f8,L2462,X40A0,P031,70068004
35933,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,240222001
35934,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,237323007
35935,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,199420004
35936,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,620921000000107
35937,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,199796003
35939,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,88825008
35940,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,199809005
35941,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,699061000000103
35942,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,608361000000105
35943,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,698497008
35944,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,289778008
35945,L2462,Stenosis of cervix - baby delivered with postpartum complication,Y40f3,L2462,X409v,P031,70068004
35946,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,240222001
35947,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,237323007
35948,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,199420004
35949,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,620921000000107
35950,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,199796003
35952,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,88825008
35953,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,199809005
35954,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,699061000000103
35955,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,608361000000105
35956,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,698497008
35957,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,289778008
35958,L247.,"Stenosis of vagina in pregnancy, childbirth and the puerperium",Y40ee,L247.,X409d,P031,70068004
35959,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,240222001
35960,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,237323007
35961,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,199420004
35962,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,620921000000107
35963,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,199796003
35965,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,88825008
35966,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,199809005
35967,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,699061000000103
35968,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,608361000000105
35969,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,698497008
35970,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,289778008
35971,L247.,"Vaginal abnormality in pregnancy, childbirth and the puerperium",Y40eX,L247.,X409c,P031,70068004
35972,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,240222001
35973,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,237323007
35974,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,199420004
35975,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,620921000000107
35976,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,199796003
35978,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,88825008
35979,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,199809005
35980,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,699061000000103
35981,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,608361000000105
35982,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,698497008
35983,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,289778008
35984,L2472,Septate vagina - baby delivered with postpartum complication,Y40ep,L2472,X409o,P031,70068004
35985,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,240222001
35986,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,237323007
35987,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,199420004
35988,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,620921000000107
35989,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,199796003
35991,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,88825008
35992,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,199809005
35993,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,699061000000103
35994,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,608361000000105
35995,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,698497008
35996,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,289778008
35997,L2472,Stenosis of vagina - baby delivered with postpartum complication,Y40ei,L2472,X409h,P031,70068004
35998,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,240222001
35999,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,237323007
36000,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,199420004
36001,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,620921000000107
36002,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,199796003
36004,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,88825008
36005,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,199809005
36006,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,699061000000103
36007,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,608361000000105
36008,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,698497008
36009,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,289778008
36010,L248.,"Vulval abnormality in pregnancy, childbirth and the puerperium",Y40eA,L248.,X409N,P031,70068004
36011,L2482,Persistent hymen - baby delivered with postpartum complication,Y40eT,L2482,X409Z,P031,240222001
